xxxx;;;;;;;;;;;;;;x
######################################################################;;;;;;;;;;;;;;x
# Savegame transfers;;;;;;;;;;;;;;x
######################################################################;;;;;;;;;;;;;;x
SAVE_PROG;遊戲進度：$VALUE$ %;;;;;;;x
TRANSERING_SAVE;解析遊戲進度中……;;;;;;;x
LOADING_LOCAL_SAVE;讀取遊戲進度中……;;;;;;;x
PLR_DISC;玩家$NAME$離開了遊戲。;;;;;;;x
PLR_CONNECT;玩家$NAME$加入了遊戲。;;;;;;;x
REVERT_SAVE_CAL;恢復默認數據。;;;;;;;x
SAVE_TRANSFER_DONE;遊戲進度解析完成。;;;;;;;x
######################################################################;;;;;;;;;;;;;;x
# Loading texts;;;;;;;;;;;;;;x
######################################################################;;;;;;;;;;;;;;x
LOADING_MAP_SPRITES;讀取地圖……;;;;;;;x
LOADING_GUI_DEF;讀取圖形界面……;;;;;;;x
LOADING_DATABASES;讀取數據庫……;;;;;;;x
LOADING_DATABASES2;讀取數據庫II……;;;;;;;;;;x
INIT_MAP_LOGIC;初始化地圖……;;;;;;;x
CREATING_CHKSUM;創建校驗點……;;;;;;;x
LOADING_HISTORY;讀取歷史文件……;;;;;;;x
LOADING_SOUNDS;讀取聲音……;;;;;;;x
PROC_FLAGS;處理變量……;;;;;;;x
LOAD_FLAGS;讀取變量……;;;;;;;x
LOAD_GFX;讀取圖像……;;;;;;;x
CREATING_THE_WORLD;創建世界……;;;;;;;x
CREATING_TREES;創建樹木……;;;;;;;x
CREATING_BORDERS;創建邊界……;;;;;;;x
CREATING_RIVERS;創建河流……;;;;;;;x
MAP_PROPERLY_INIT;地圖完全初始化……;;;;;;;x
CREATING_PROVINCE;創建省份 #;;;;;;;x
CREATING_TEXTS;創建文本……;;;;;;;x
LOAD_EVENTS;讀取事件……;;;;;;;x
ADAPTING_HISTORY;調節歷史……;;;;;;;x
CALC_PATHS;計算路徑……\n這將需要幾分鐘。;;;;;;;x
FE_TOGGLE;快速開始;;;;;;;;;;x
FE_TOGGLE_NORMAL;自定義開始;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
# Quick Start Texts;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
FE_QS_GER_TITLE;德國，1939年九月;;;;;;;;;;X
FE_QS_GER_GOAL;征服華沙和巴黎;;;;;;;;;;X
FE_QS_GER_INFO;這個劇本的重點主要集中於戰爭。你可以完\n全控制你的軍事力量，而電腦將爲你自動處\n理其他事務。\n;;;;;;;;;;X
FE_QS_SOV_TITLE;蘇聯，1941年六月;;;;;;;;;;X
FE_QS_SOV_GOAL;守住斯大林格勒，莫斯科和列寧格勒;;;;;;;;;;X
FE_QS_SOV_INFO;完全控制蘇聯的軍事力量和生產。電腦將爲\n你自動處理科研、外交、情報和政治事務。\n;;;;;;;;;;X
FE_QS_JAP_TITLE;日本，1941年十二月;;;;;;;;;;X
FE_QS_JAP_GOAL;征服夏威夷和瓜達爾卡納爾島;;;;;;;;;;X
FE_QS_JAP_INFO;控制強有力的日本海軍及登陸部隊來征服太\n平洋。電腦將在其他方面幫助你操控國家的\n各個部分。\n;;;;;;;;;;X
FE_QS_USA_TITLE;美國，1936年一月;;;;;;;;;;X
FE_QS_USA_GOAL;參戰;;;;;;;;;;X
FE_QS_USA_INFO;你可以完全控制生產、科研、政治和情報，\n在此基礎上促進美國準備好參加第二次世界\n大戰，從法西斯手中拯救世界。\n;;;;;;;;;;X
######################################################################;;;;;;;;;;;;;;x
######################################################################;;;;;;;;;;;;;;x
# Settings ;;;;;;;;;;;;;;x
FE_SETTING_DIPLOMACY;外交;;;;;;;;;;;;x
FE_SETTING_PRODUCTION;生產;;;;;;;;;;;;x
FE_SETTING_POLITICS;政治;;;;;;;;;;;;x
